time_s,Bx_uT,By_uT,Bz_uT,B_total_uT
0,21.96,-5.34,39.27,45.31
1,21.5,-5.99,38.8,44.76
2,21.68,-5.19,39.3,45.19
3,22.14,-5.44,39.26,45.4
4,21.5,-5.56,38.46,44.41
5,22.57,-5.94,39.51,45.89
6,21.4,-5.31,38.74,44.58
7,21.87,-5.16,38.23,44.34
8,21.39,-5.08,39.01,44.78
9,21.43,-5.01,39.71,45.4
10,21.46,-5.58,38.42,44.35
11,21.74,-5.38,38.46,44.51
12,22.28,-5.95,38.47,44.85
13,22.44,-5.6,38.87,45.23
14,22.13,-5.52,38.82,45.02
15,21.34,-5.27,39.75,45.42
16,22.67,-5.34,38.77,45.23
17,21.81,-5.31,39.28,45.24
18,21.46,-5.77,38.78,44.7
19,22.02,-5.19,39.0,45.08
20,21.34,-5.18,38.89,44.66
21,22.03,-5.78,38.88,45.06
22,21.84,-5.23,38.36,44.46
23,22.07,-5.82,39.31,45.46
24,21.35,-5.72,38.75,44.61
25,22.19,-5.95,38.93,45.21
26,21.59,-5.72,38.96,44.91
27,22.64,-5.52,39.73,46.06
28,21.53,-5.08,38.78,44.65
29,21.56,-5.25,39.66,45.45
30,21.31,-5.73,39.43,45.19
31,21.78,-5.76,38.21,44.36
32,21.36,-5.38,39.77,45.46
33,22.7,-5.5,38.24,44.81
34,21.75,-5.21,39.53,45.42
35,22.2,-5.77,39.04,45.28
36,21.97,-5.37,38.62,44.75
37,22.63,-5.11,38.46,44.91
38,21.71,-5.13,38.65,44.62
39,22.62,-5.48,39.31,45.69
40,22.29,-5.79,38.66,44.99
41,21.66,-5.32,39.31,45.2
42,21.48,-5.11,38.87,44.71
43,21.64,-5.56,39.77,45.61
44,22.08,-5.38,39.67,45.72
45,22.65,-5.24,38.87,45.29
46,22.12,-5.1,39.46,45.53
47,22.11,-5.65,38.79,45.01
48,22.33,-5.44,38.23,44.6
49,22.29,-5.1,39.48,45.62
50,22.56,-5.09,39.06,45.39
51,22.4,-5.62,38.36,44.78
52,21.79,-5.69,39.69,45.64
53,22.26,-5.46,39.2,45.41
54,21.47,-5.47,39.32,45.14
55,21.85,-5.75,38.85,44.94
56,21.75,-5.31,38.43,44.48
57,21.43,-5.69,39.31,45.13
58,22.36,-5.34,39.7,45.87
59,21.81,-5.97,38.98,45.07
