x_cm,y_cm,Bx_uT,By_uT,Bz_uT,B_total_uT
0,0,13.74,-12.82,46.62,50.27
2,0,14.24,-16.15,48.22,52.81
4,0,18.25,-20.85,50.17,57.31
6,0,21.55,-22.49,49.97,58.88
8,0,27.17,-21.43,49.05,60.02
10,0,28.36,-17.49,47.86,58.32
12,0,28.69,-14.3,46.75,56.69
0,2,10.19,-11.64,48.02,50.45
2,2,8.0,-18.05,52.75,56.33
4,2,9.17,-31.21,57.29,65.88
6,2,23.03,-37.67,60.98,75.29
8,2,34.03,-29.74,56.16,72.08
10,2,35.39,-19.53,51.21,65.24
12,2,32.87,-12.03,46.74,58.39
0,4,5.61,-11.41,51.04,52.6
2,4,-2.52,-19.14,57.88,61.01
4,4,-15.53,-43.19,74.1,87.16
6,4,22.7,-98.01,97.66,140.21
8,4,61.75,-43.15,73.66,105.36
10,4,47.73,-19.22,56.29,76.27
12,4,36.05,-11.66,48.62,61.63
0,6,4.96,-6.11,49.57,50.19
2,6,-11.45,-6.06,61.21,62.57
4,6,-69.6,-6.69,99.31,121.45
6,6,22.11,-5.65,167.65,169.19
8,6,114.38,-4.6,98.77,151.19
10,6,54.91,-5.6,60.53,81.91
12,6,39.36,-5.76,50.55,64.32
0,8,7.14,-1.0,50.9,51.41
2,8,-2.61,7.86,57.44,58.04
4,8,-15.28,33.7,74.31,83.01
6,8,21.72,86.75,99.51,133.79
8,8,61.67,32.04,73.22,100.94
10,8,45.41,5.55,55.54,71.96
12,8,36.03,-1.08,48.46,60.4
0,10,11.38,2.3,49.12,50.48
2,10,9.72,8.9,52.91,54.53
4,10,8.29,18.27,58.15,61.51
6,10,21.93,26.12,60.9,69.79
8,10,34.07,19.22,56.32,68.57
10,10,34.89,6.93,51.88,62.9
12,10,34.53,3.41,48.52,59.65
0,12,15.86,1.52,45.23,47.96
2,12,15.82,5.97,48.23,51.11
4,12,15.37,9.19,49.57,52.71
6,12,22.69,13.17,51.27,57.59
8,12,26.69,9.65,50.71,58.11
10,12,30.92,5.63,46.81,56.38
12,12,29.81,2.05,45.42,54.37
